"","i","v","f","one","two","T"
"1504",4654,62077,1,"CRO","CAREOR","CASE REP ORTHOP"
"1505",3168,60591,1,"CRO","CHREON","CHOICE REV ONLINE"
"1506",4133,61556,4,"CROBM","CRREORBIM","CRIT REV ORAL BIOL M"
"1507",4789,62212,1,"CRP","CUREPA","CURR REV PAIN"
"1508",1831,59254,5,"CRPR","CRREPHRE","CRIT REV PHYS REHABI"
"1509",5306,62729,1,"CRSA","CARESOAN","CAN REV SOC ANTHROP"
"1510",3578,61001,1,"CRT","CHRETO","CHEM RES TOXICOL"
"1511",5003,62426,1,"CS","CLSA","CLIN SALUD"
"1512",1712,59135,20,"CS","CLSC","CLIN SCI"
"1513",2914,60337,6,"CS","COSC","COGNITIVE SCI"
"1514",1361,58784,1,"CS","COSO","CONTEMP SOCIOL"
"1515",4325,61748,10,"CS","COSP","COMMUN SPORT"
"1516",4893,62316,1,"CS","CUSO","CURR SOCIOL"
"1517",5186,62609,1,"CS","CUSO","CULT SOCIOL"
"1518",5823,63246,1,"CS","CUST","CULT STUD"
"1519",4740,62163,2,"CS","CZST","CZAS STOMATOL"
"1520",6527,63950,1,"CSA","COSEAN","COURIER SERBIAS ANTH"
"1521",3596,61019,1,"CSC","CESTCH","CELL STRESS CHAPERON"
"1522",3105,60528,1,"CSCWTJOCC","COSUCOWOTHJOOFCOCO","COMPUTER SUPPORTED COOPERATIVE WORK: THE JOURNAL OF COLLABORATIVE COMPUTING"
"1523",6820,64243,1,"CSDA","COSTDAAN","COMPUT STAT DATA AN"
"1524",5703,63126,2,"CSE","COSCEN","COMPUT SCI ENG"
"1525",5228,62651,1,"CSHS","COSPHASY","COLD SPRING HARB SYM"
"1526",4808,62231,1,"CSI","COSTIN","COMPUT STAND INTER"
"1527",6231,63654,1,"CSM","CHSPME","CHIROPRACTIC SPORTS MEDICINE"
"1528",179,57602,286,"CSM","CLSPME","CLIN SPORT MED"
"1529",765,58188,16,"CSM","CLSPME","CLIN SPORTS MED"
"1530",3777,61200,1,"CSM","COSYMO","COGN SYST MONOGR"
"1531",6293,63716,1,"CSM","CRSPME","CROATIAN SPORTS MED"
"1532",338,57761,1,"CSMJ","CRSPMEJ","CROAT SPORTS MED J"
"1533",1561,58984,1,"CSMJ","CRSPMEJ","CROATIAN SPORS MED J"
"1534",1104,58527,1,"CSMM","CLSCMOME","CLIN SCI MOL MED"
"1535",446,57869,56,"CSMR","CUSPMERE","CURR SPORT MED REP"
"1536",843,58266,28,"CSMR","CUSPMERE","CURR SPORTS MED REP"
"1537",5401,62824,1,"CSN","CLSINU","CLIN SIMUL NURS"
"1538",6325,63748,1,"CSN","CLSPNU","CLIN SPORTS NUTR"
"1539",432,57855,3,"CSP","CASAPÃ","CAD. SAÃšDE PÃšBLICA"
"1540",428,57851,7,"CSP","CASAPU","CAD SAUDE PUBLICA"
"1541",6092,63515,1,"CSR","COSYRE","COGNITIVE SYSTEMS RE"
"1542",2492,59915,1,"CSRD","CASTREDE","CASE STUDY RES DESIG"
"1543",4043,61466,2,"CSREM","COSOREENMA","CORP SOC RESP ENV MA"
"1544",1057,58480,1,"CSRR","CASTRRE","CASE STUDY R RECOGNI"
"1545",4810,62233,1,"CSS","CASPSC","CANJ SPORT SCI"
"1546",5953,63376,1,"CSS","CHSPSC","CHINA SPORTS SCI"
"1547",3436,60859,1,"CSS","COSOSC","COGENT SOC SCI"
"1548",1250,58673,6,"CSSJ","COSPSCJ","COACHING SPORT SCI J"
"1549",1019,58442,1,"CSST","CHSPSCTE","CHINA SPORT SCI TECH"
"1550",5311,62734,1,"CST","CASOTR","CAN SOC TRENDS"
"1551",4658,62081,1,"CT","CHTR","CHANGE TRANSFORMATIO"
"1552",1482,58905,2,"CT","CLTE","CLIN TER"
"1553",4700,62123,1,"CT","CLTH","CLIN THER"
"1554",4837,62260,3,"CT","CLTR","CLIN TRIALS"
"1555",1552,58975,4,"CT","COTE","COMUNICACIONES TECNI"
"1556",3892,61315,1,"CT","COTE","COMMUNICATIONS TESTI"
"1557",476,57899,1,"CT","COTH","COMMUN THEOR"
"1558",6843,64266,1,"CT","COTH","COMPR THER"
"1559",1492,58915,1,"CT","CUTE","CUDADERNOS TECNICOS"
"1560",1874,59297,43,"CTI","CATIIN","CALCIFIED TISSUE INT"
"1561",5931,63354,3,"CTM","COTHME","COMPLEMENT THER MED"
"1562",3506,60929,2,"CTO","CETIOR","CELLS TISSUES ORGANS"
"1563",3616,61039,4,"CTOCM","CUTROPCAME","CURR TREAT OPTIONS CARDIOVASC MED"
"1564",4821,62244,1,"CTON","CUTROPNE","CURR TREAT OPTIONS NEUROL"
"1565",6078,63501,1,"CTR","CATIRE","CALC TISS RES"
"1566",3507,60930,1,"CTR","CETIRE","CELL TISSUE RES"
"1567",1367,58790,10,"CTR","COTHRE","COGNITIVE THER RES"
"1568",1945,59368,4,"CTR","COTHRE","COGNITIVE THERAPY RE"
"1569",3304,60727,5,"CTR","COTIRE","CONNECT TISSUE RES"
"1570",616,58039,1,"CTS","CITES","CIENCIA TECNOLOGIA S"
"1571",5976,63399,0,"CU","CAUL","CARDIOVASC ULTRASOUN"
"1572",2109,59532,1,"CUJE","CUUJED","CUKUROVA U J ED"
"1573",1710,59133,1,"CV","COVA","COR VASA"
"1574",3350,60773,1,"CVCV","COVACOVA","COUNSELING VALUES COUNSELING VALUES"
"1575",504,57927,27,"CVIU","COVIIMUN","COMPUT VIS IMAGE UND"
"1576",3830,61253,1,"CVMI","COVIMEIM","COMPUT VIS MED IMAGE"
"1577",4433,61856,1,"CWF","COWOFA","COMMUNITY WORK FAMIL"
"1578",1269,58692,14,"CWHR","CUWOHERE","CURR WOMENS HEALTH REP"
"1579",2411,59834,1,"CY","CAYO","CARDIOL YOUNG"
"1580",2724,60147,1,"CYS","CHYOSP","CHILDREN YOUTH SPORT"
"1581",3192,60615,1,"CYS","CLYSA","CLÃ­NICA Y SALUD"
"1582",5700,63123,1,"D","DA","DANSKSPORTSMEDICIN"
"1583",1414,58837,2,"D","DE","DEPORCAM"
"1584",4728,62151,1,"D","DE","DERMATOLOGY"
"1585",5573,62996,1,"D","DE","DERMATOZ"
"1586",6525,63948,1,"D","DE","DERM-ENDOCRINOL"
"1587",1134,58557,6,"D","DI","DIABETES"
"1588",1294,58717,4,"D","DI","DIABETOLOGIA"
"1589",1870,59293,6,"D","DI","DIAGNOSTICA"
"1590",3612,61035,1,"D","DI","DIOGENE"
"1591",5799,63222,1,"D","DI","DIASTEMA"
"1592",6273,63696,1,"D","DI","DISKREPANCIJA"
"1593",4833,62256,1,"D","DR","DRUGS"
"1594",5115,62538,4,"DA","DEAN","DEPRESS ANXIETY"
"1595",785,58208,7,"DA","DEAS","DENT ASSIST"
"1596",5875,63298,1,"DA","DRAG","DRUG AGING"
"1597",4394,61817,2,"DA","DTAR","DTSCH ARZTEBL"
"1598",4403,61826,1,"DA","DTAR","DT ARZTEBL"
"1599",3153,60576,3,"DAD","DRALDE","DRUG ALCOHOL DEPEN"
"1600",3449,60872,1,"DAG","DEARGY","DE ARTE GYMNASTICA"
"1601",6466,63889,1,"DAI","DIABIN","DISS ABSTR INT"
"1602",6858,64281,1,"DAI","DIABIN","DIS ABST INT"
"1603",1156,58579,4,"DAI","DTARIN","DTSCH ARZTEBL INT"
"1604",6007,63430,1,"DAR","DRALRE","DRUG ALCOHOL REV"
"1605",329,57752,4,"DAV","DTARVE","DTSCH ARZTE VERLAG"
"1606",3818,61241,0,"DB","DABR","DATA BRIEF"
"1607",4656,62079,1,"DB","DEBE","DEVIANT BEHAV"
"1608",5681,63104,1,"DBAIS","DABAADINSY","DATA BASE ADV INF SY"
"1609",4324,61747,1,"DC","DECR","DEVELOPING CRITICAL"
"1610",1292,58715,12,"DC","DICA","DIABETES CARE"
"1611",3010,60433,1,"DCGE","DOCOGRE","DOC CONSENSO GRUPO E"
"1612",6751,64174,1,"DCLS","DECOLIST","DEUTER COGN LIT STUD"
"1613",6757,64180,3,"DCN","DECONE","DEV COGN NEUROS-NETH"
"1614",2942,60365,2,"DCN","DICLNE","DIALOGUES CLIN NEUROSCI"
"1615",4823,62246,1,"DCNA","DECLNAM","DENT CLIN N AM"
"1616",3091,60514,10,"DCNA","DECLNOAM","DENT CLIN NORTH AM"
"1617",3387,60810,9,"DCONA","DECLOFNOAM","DENTAL CLINICS OF NORTH AMERICA"
"1618",6567,63990,1,"DCS","DICAS1","DIABETES CARE S1"
"1619",3707,61130,1,"DDR","DRDERE","DRUG DEVELOP RES"
"1620",5145,62568,1,"DDRR","DEDIRERE","DEV DISABIL RES REV"
"1621",1758,59181,1,"DDS","DIDISC","DIGEST DIS SCI"
"1622",5243,62666,1,"DE","DIED","DIDACTICA EDUCACION"
"1623",4715,62138,1,"DF","DEFE","DEBATE FEMINISTA"
"1624",4637,62060,1,"DFP","DEFOPR","DEV FOOD PROTEINS"
"1625",2643,60066,2,"DHJ","DIHEJ","DISABIL HEALTH J"
"1626",1723,59146,1,"DHLF","DIHILAFR","DICT HIST LANGU FRAN"
"1627",4083,61506,1,"DI","DAID","DANSK IDRAETSHISTORI"
"1628",2257,59680,3,"DI","DEIN","DESPORTO INVESTIGACA"
"1629",6521,63944,1,"DI","DIIN","DISCOURSES INTERACTI"
"1630",6786,64209,1,"DII","DIINIM","DIAGN INTERV IMAGING"
"1631",6237,63660,1,"DJPT","DUJPHTH","DUTCH J PHYS THER"
"1632",4739,62162,3,"DL","DELA","DENT LABOR"
"1633",3470,60893,1,"DLMV","DELIMVI","DECEM LIBROS M VITRU"
"1634",2167,59590,1,"DM","DAME","DAKAR MED"
"1635",5989,63412,1,"DM","DIMA","DIS MARKERS"
"1636",5831,63254,1,"DM","DIME","DIABETES METAB"
"1637",6468,63891,1,"DM","DMMO","DM-DIS MON"
"1638",832,58255,7,"DM","DYME","DYN MED"
"1639",6204,63627,1,"DMB","DAMEBU","DAN MED BULL"
"1640",3403,60826,5,"DMCN","DEMECHNE","DEV MED CHILD NEUROL"
"1641",4304,61727,1,"DMJ","DEMEJ","DEL MED J"
"1642",3716,61139,4,"DMKD","DAMIKNDI","DATA MIN KNOWL DISC"
"1643",3723,61146,1,"DMPMLTAT","DAMIPRMALETOANTE","DATA MINING: PRACTICAL MACHINE LEARNING TOOLS AND TECHNIQUES"
"1644",3945,61368,1,"DMS","DIMESP","DISTANCE MEASURES SP"
"1645",4832,62255,1,"DMS","DIMESY","DIABETES METAB SYND"
"1646",2821,60244,1,"DMT","DOMETR","DOC MED TRAVAIL"
"1647",2541,59964,6,"DMW","DEMEWO","DEUT MED WOCHENSCHR"
"1648",982,58405,2,"DN","DENE","DEV NEUROREHABIL"
"1649",3699,61122,1,"DN","DENE","DEV NEUROBIOL"
"1650",5347,62770,6,"DN","DENE","DEV NEUROPSYCHOL"
"1651",6763,64186,1,"DN","DENE","DEV NEUROSCI-BASEL"
"1652",3148,60571,2,"DNM","DINUME","DIABETES NUTR METAB"
"1653",5384,62807,4,"DO","DOOP","DOC OPHTHALMOL"
"1654",5649,63072,1,"DOM","DIOBME","DIABETES OBES METAB"
"1655",5916,63339,1,"DOPS","DOOPPSE","DOC OPHTHALMOL P SER"
"1656",4604,62027,1,"DOQ","DEOCQU","DEV OCCURRENCE QUEST"
"1657",958,58381,5,"DP","DEPS","DEV PSYCHOPATHOL"
"1658",1691,59114,27,"DP","DEPS","DEV PSYCHOL"
"1659",6386,63809,2,"DP","DEPS","DEV PSYCHOBIOL"
"1660",2920,60343,1,"DP","DIPE","DIFFERING PERSPECTIV"
"1661",5182,62605,1,"DPC","DVPRCL","DVS PROTOKOLLE CLAUS"
"1662",6366,63789,1,"DPEJ","DEPIEPJ","DELTA PI EPSILON J"
"1663",4305,61728,2,"DPJO","DEPRJ.OR","DENTAL PRESS J. ORTHOD."
"1664",5058,62481,1,"DPP","DIPEPS","DIVERS.: PERSPECT. PSICOL."
"1665",1423,58846,27,"DR","DERE","DEV REV"
"1666",3274,60697,1,"DR","DERE","DERMATOL REV"
"1667",788,58211,18,"DR","DIRE","DISABIL REHABIL"
"1668",1632,59055,1,"DR","DIRE","DIABETES-METAB RES"
"1669",6070,63493,1,"DR","DIRE","DISABIL REHABIL-ASSI"
"1670",1210,58633,2,"DRCP","DIRECLPR","DIABETES RES CLIN PR"
"1671",4776,62199,3,"DRJ(","DEREJ(I","DENT RES J (ISFAHAN)"
"1672",2517,59940,2,"DRT","DERETR","DEPRESS RES TREAT"
"1673",523,57946,1,"DS","DASO","DANSK SOCIOLOGI"
"1674",5767,63190,4,"DS","DESC","DEVELOPMENTAL SCI"
"1675",4230,61653,4,"DS","DESU","DERMATOL SURG"
"1676",3143,60566,1,"DS","DISO","DISABIL SOC"
"1677",4902,62325,1,"DS","DISO","DISCOURSE SOC"
"1678",4958,62381,1,"DSD","DISEDI","DIMACS SERIES DISCRE"
"1679",6427,63850,1,"DSM","DISTMA","DIAGNOSTIC STAT MANU"
"1680",5642,63065,1,"DSS","DESPSC","DESCENTE SPORTS SCI"
"1681",2078,59501,2,"DSS","DESUSY","DECIS SUPPORT SYST"
"1682",2935,60358,1,"DSSE","DISSSTE","DISCOVERY SS STUDE E"
"1683",4137,61560,1,"DT","DETH","DERMATOL THER"
"1684",182,57605,230,"DT","DETR","DENT TRAUMATOL"
"1685",3957,61380,1,"DT","DITH","DIABETES THER"
"1686",2188,59611,1,"DT3W","DZTO3WO","DZIELA TOM 3 WORKS"
"1687",4361,61784,4,"DTA","DRTEAN","DRUG TEST ANAL"
"1688",5966,63389,1,"DTT","DITETH","DIABETES TECHNOL THE"
"1689",4254,61677,1,"DU","DIUN","DIAGNOSE UNFALLHEILK"
"1690",693,58116,1,"DUD","DOUDE","DOGUS U DERGISI"
"1691",2064,59487,1,"DWB","DEWOBI","DEV WORLD BIOETH"
"1692",1650,59073,1,"DZC","DTZCH","DTSCH Z CHIRURGIE"
"1693",394,57817,20,"DZFS","DEZEFUSP","DEUTSCHE ZEITSCHRIFT FUER SPORTMEDIZIN"
"1694",538,57961,56,"DZS","DEZSP","DEUT Z SPORTMED"
"1695",49,57472,16,"DZS","DTZSP","DTSCH Z SPORTMED"
"1696",385,57808,2,"DZS","DTZSP","DT Z SPORTMED"
"1697",1243,58666,2,"DZS","DTZSP","DTSCH Z SPORTSMED"
"1698",1902,59325,5,"DZS","DTZSP","DTSCH Z SPORTMEDIZIN"
"1699",6579,64002,2,"DZS","DTZSP","DT Z SPORTMEDIZIN"
"1700",4059,61482,1,"DZS","DTZTSP","DTSCH ZTSCHR SPORTME"
"1701",1233,58656,11,"E","EC","ECONOMETRICA"
"1702",2525,59948,2,"E","EC","ECOLOGY"
"1703",3599,61022,1,"E","EC","ECONOQUANTUM"
"1704",1394,58817,1,"E","ED","EDUCAR"
"1705",3811,61234,3,"E","ED","EDUCACION"
"1706",6797,64220,1,"E","EF","EFDEPORTES"
"1707",1040,58463,2,"E","EJ","EJBRM"
"1708",3110,60533,3,"E","EJ","EJRIEPS"
"1709",4221,61644,1,"E","EL","ELECTROPHYSIOLOGICAL"
"1710",1730,59153,35,"E","EM","EMOTION"
"1711",4895,62318,1,"E","EM","EMERGENCE"
"1712",1709,59132,1,"E","EN","ENTROPY-SWITZ"
"1713",2387,59810,18,"E","EN","ENDOCRINOLOGY"
"1714",2867,60290,2,"E","EN","ENFANCE"
"1715",4614,62037,1,"E","EN","ENSENANZA"
"1716",5006,62429,4,"E","EN","ENCEPHALE"
"1717",5675,63098,1,"E","EN","ENDOCRINOLOGIE"
"1718",1283,58706,6,"E","EP","EPIDEMIOLOGY"
"1719",3466,60889,1,"E","EP","EPIGRAMMATA"
"1720",6817,64240,1,"E","EP","EPILEPSIA"
"1721",254,57677,100,"E","ER","ERGONOMICS"
"1722",6583,64006,2,"E","ER","ERFAHRUNGSHEILKUNDE"
"1723",1042,58465,10,"E","ES","ESPIRAL"
"1724",1722,59145,1,"E","ES","ESSAIS"
"1725",1732,59155,1,"E","ET","ETHOLOGY"
"1726",2815,60238,1,"E","ET","ETHNICITIES"
"1727",3793,61216,1,"E","ET","ETHICS"
"1728",4302,61725,1,"E","ET","ETHOS"
"1729",1753,59176,10,"E","EU","EUROPACE"
"1730",4542,61965,1,"E","EV","EVALUATION-US"
"1731",3107,60530,2,"E","EX","EXPLICITER"
"1732",6655,64078,1,"E","EX","EXPLORE-NY"
"1733",5381,62804,1,"E","EY","EYE"
"1734",3813,61236,2,"E2","ED21","EDUCACIDN 21"
"1735",3910,61333,2,"E3","ED3-","EDUC 3-13"
"1736",3545,60968,1,"EA","ECAP","ECON APPL"
"1737",5167,62590,1,"EA","ECAP","ECONOMETRIC APPROACH"
"1738",2725,60148,2,"EA","EFAT","EFFORTLESS ATTENTION"
"1739",3917,61340,1,"EA","ESAB","ESCUELA ABIERTA"
"1740",4292,61715,1,"EACEP","EQANCOEXPH","EQUINE AND COMPARATIVE EXERCISE PHYSIOLOGY"
"1741",2621,60044,2,"EACN","ELANCLNE","ELECTROMYOGRAPHY AND CLINICAL NEUROPHYSIOLOGY"
"1742",3633,61056,1,"EAG","EDARGY","ED ARTIS GYMNASTICAE"
"1743",531,57954,19,"EAMJ","EAFMEJ","E AFR MED J"
"1744",4747,62170,1,"EAO","EUAROT","EUR ARCH OTO-RHINO-L"
"1745",6133,63556,1,"EAP","ENAPPS","ENCY APPL PSYCHOL"
"1746",5725,63148,2,"EAPCN","EUARPSCLN","EUR ARCH PSY CLIN N"
"1747",185,57608,7,"EAPD","EUARPADE","EUR ARCH PAEDIATR DE"
"1748",2908,60331,2,"EAR","EDACRE","EDUC ACTION RES"
"1749",3583,61006,2,"EAR","EUADRE","EUR ADDICT RES"
"1750",1565,58988,18,"EAR","EXAGRE","EXP AGING RES"
"1751",4880,62303,2,"EB","EABE","EAT BEHAV"
"1752",456,57879,7,"EB","EBA","E BALONMANO"
"1753",1527,58950,3,"EB","ECBU","ECON BULL"
"1754",5613,63036,2,"EB","ENBE","ENVIRON BEHAV"
"1755",3231,60654,1,"EB","ETBE","ETHICS BEHAV"
"1756",6779,64202,1,"EB","EYBR","EYE BRAIN"
"1757",2524,59947,2,"EBA","ENBEAS","ENCY BEHAV ASSESSMEN"
"1758",887,58310,0,"EBC","E-BICO","E-HEALTH BIOENG CONF"
"1759",34,57457,45,"EBCR","EBACORE","E BALONMANO COM REV"
"1760",1055,58478,3,"EBCRCEBCRC","EBACORECEBACOREC","E BALONMANO CO REV C E BALONMANO CO REV C"
"1761",2635,60058,2,"EBD","EVBADE","EVID BASED DENT"
"1762",4573,61996,1,"EBDR","EUBDRRE","EUROPEAN B DRUG RES"
"1763",3290,60713,3,"EBIH","ENBOIMHU","ENCY BODY IMAGE HUMA"
"1764",5162,62585,1,"EBL","ECBULE","ECON BUS LETT"
"1765",6072,63495,1,"EBM","EVBAMI","EVIDENCE BASED MIDWI"
"1766",3597,61020,1,"EBM","EXBIME","EXP BIOL MED"
"1767",4149,61572,1,"EBN","EVBANU","EVID BASED NURS"
"1768",1032,58455,6,"EBP","EPBIPU","EPIDEMIOL BIOSTAT PU"
"1769",257,57680,173,"EBR","EXBRRE","EXP BRAIN RES"
"1770",4635,62058,1,"EBR","EXBRRE","EXP BR RES"
"1771",1053,58476,6,"EBRC","EBARECI","E BALONMANO REV CIEN"
"1772",1439,58862,1,"EBRD","EBAREDI","E BALONMANO REV DIGI"
"1773",46,57469,173,"EC","E-CO","E-BALONMANO COM"
"1774",2964,60387,14,"EC","ECCA","ECHOCARDIOGR-J CARD"
"1775",5059,62482,1,"EC","EMCO","EMOTIONAL COGNITION"
"1776",5569,62992,1,"EC","ENCO","ENDOCR CONNECT"
"1777",2855,60278,3,"EC","EXCH","EXCEPT CHILDREN"
"1778",6566,63989,0,"ECA","EVCOAL","EVID-BASED COMPL ALT"
"1779",5349,62772,4,"ECAP","EUCHADPS","EUR CHILD ADOLES PSY"
"1780",2515,59938,1,"ECD","ERCUDI","ERIC CUE DIGEST"
"1781",3257,60680,1,"ECDC","EACHDECA","EARLY CHILD DEV CARE"
"1782",6121,63544,1,"ECE","EMCUEM","EMOTION CULTURE EMPI"
"1783",918,58341,2,"ECE","EXCLEN","EXP CLIN ENDOCRINOL"
"1784",4114,61537,1,"ECEJ","EACHEDJ","EARLY CHILD EDUC J"
"1785",4516,61939,3,"ECL","EYCOLE","EYE CONTACT LENS"
"1786",1502,58925,5,"ECN","ELCLNE","ELECTROMYOGR CLIN NEUROPHYSIOL"
"1787",1544,58967,15,"ECN","ELCLNE","ELECTROEN CLIN NEURO"
"1788",4534,61957,1,"ECN","ELCLNE","ELECTROMYO CLIN NEUR"
"1789",2383,59806,2,"ECN","EUCYNE","EUR CYTOKINE NETW"
"1790",2805,60228,1,"ECNS","ELCLNESU","ELECTROENCEPHALOGR CLIN NEUROPHYSIOL SUPPL"
"1791",6460,63883,1,"ECP","EXCLPS","EXP CLIN PSYCHOPHARM"
"1792",5242,62665,1,"ECRQ","EACHREQ","EARLY CHILD RES Q"
"1793",5033,62456,1,"ECUT","EFCOUTE","EFFECTIVE COLL U TEA"
"1794",3548,60971,1,"ED","ENDE","ENTRENAMIENTO DEPORT"
"1795",6027,63450,1,"EDA","ESDOAV","ESSAIS DOUBLE AVEUGL"
"1796",6142,63565,1,"EDCPMWR","ENDICHPRMAWIRO","ENDOKRYNOL DIABETOL CHOR PRZEMIANY MATERII WIEKU ROZW"
"1797",4650,62073,2,"EDE","EMDEEM","EMOTIONAL DEV EMOTIO"
"1798",807,58230,2,"EDN","ENDINU","ENDOCRINOL DIAB NUTR"
"1799",3674,61097,1,"EDQ","ECDEQ","ECON DEV Q"
"1800",4461,61884,1,"EDS","ENDASY","ENCY DATABASE SYSTEM"
"1801",772,58195,25,"EDT","ENDETR","ENDOD DENT TRAUMATOL"
"1802",5731,63154,4,"EE","ECEC","ECOL ECON"
"1803",4067,61490,1,"EE","EDEC","EDUC ECON"
"1804",2598,60021,2,"EE","EMEC","EMPIR ECON"
"1805",2859,60282,1,"EE","ETED","ETHNOGR ED"
"1806",4065,61488,1,"EE","ETED","ETHNOGR EDUC"
"1807",860,58283,2,"EED","EAEDDE","EARLY EDUC DEV"
"1808",3343,60766,7,"EEDR","EUEADIRE","EUR EAT DISORD REV"
"1809",3820,61243,1,"EEE","EEELEL","EEG-EMG-Z ELEK ELEKT"
"1810",5124,62547,1,"EEJ","EAECJ","EAST ECON J"
"1811",5775,63198,1,"EEJ","EECJ","E ECON J"
"1812",6158,63581,1,"EEL","EMECLE","EMPIRICAL EC LETT"
"1813",6781,64204,1,"EEPA","EDEVPOAN","EDUC EVAL POLICY AN"
"1814",5730,63153,1,"EER","ENEDRE","ENVIRON EDUC RES"
"1815",1470,58893,6,"EER","EUECRE","EUR ECON REV"
"1816",5454,62877,2,"EESH","ESEDSPHL","ESHPA ED SPORT HLTH"
"1817",1441,58864,2,"EFC","EDFICI","ED FIS CIEN"
"1818",1645,59068,4,"EFC","EDFICI","EDUC FIS CIENC"
"1819",6107,63530,1,"EFC","EDFICI","EDUCACION FISICA CIE"
"1820",1443,58866,2,"EFD","EDFIDE","EDUC FIS DEPORTE"
"1821",1537,58960,2,"EFD","EDFIDE","EDUCACION FISICA DEP"
"1822",4162,61585,1,"EFD","EDFIDE","ED FISICA DEPORTES"
"1823",5277,62700,1,"EFD","EDFIDE","ED FISICA DEPORTE"
"1824",2553,59976,2,"EFRT","EUFORETE","EUR FOOD RES TECHNOL"
"1825",1581,59004,1,"EG","ENGL","ENFERM. GLOB."
"1826",2392,59815,6,"EG","EXGE","EXP GERONTOL"
"1827",6477,63900,1,"EGM","EUGEME","EUR GERIATR MED"
"1828",3415,60838,1,"EGTESSP","ESGUTOEFSISTPO","ESSENTIAL GUIDE TO EFFECT SIZES: STATISTICAL POWER"
"1829",4486,61909,1,"EH(","EDHE(A","EDUC HEALTH (ABINGDON)"
"1830",1112,58535,2,"EH","EUHA","EUROPEAN HANDBALL"
"1831",3160,60583,1,"EH","EXHE","EXP HEMATOL"
"1832",1951,59374,2,"EHB","ECHUBI","ECON HUM BIOL"
"1833",3240,60663,6,"EHB","EVHUBE","EVOL HUM BEHAV"
"1834",2105,59528,1,"EHC","EKHACE","EKLEM HAST CERRAHISI"
"1835",2600,60023,1,"EHD","EXHLDI","EXERCISE HLTH DIS"
"1836",232,57655,6,"EHF","EUHAFE","EUROPEAN HANDBALL FE"
"1837",548,57971,6,"EHFSC","EUHAFESCC","EUR HANDB FED SCI C"
"1838",561,57984,1,"EHJ","EUHAJ","EUROPEAN HANDBALL J"
"1839",743,58166,40,"EHJ","EUHEJ","EUR HEART J"
"1840",5975,63398,5,"EHJI","EUHEJ-IM","EUR HEART J-CARD IMG"
"1841",4328,61751,1,"EHP","ENHEPR","ENVIRON HEALTH PREV"
"1842",1430,58853,1,"EHP","EVHEPR","EVAL HEALTH PROF"
"1843",1475,58898,22,"EI","ECIN","ECON INQ"
"1844",2594,60017,1,"EI","ECIS","EC ISSUES"
"1845",892,58315,1,"EI","EDIN","ED INFORM"
"1846",495,57918,2,"EI","ELIM","ELECT IMAGING"
"1847",951,58374,1,"EI","ENIL","ENDUSTRI ILISKILERI"
"1848",5619,63042,2,"EI","ENIN","ENVIRON INT"
"1849",5456,62879,2,"EI","EPIN","EPIDEMIOL INFECT"
"1850",1917,59340,4,"EID","EMINDI","EMERG INFECT DIS"
"1851",6172,63595,3,"EIM","ENINME","ENGINEERING IN MEDICINE"
"1852",1601,59024,18,"EIR","EXIMRE","EXERC IMMUNOL REV"
"1853",5714,63137,1,"EIT","EDINTE","EDUC INF TECHNOL"
"1854",1530,58953,6,"EJ","ECJ","ECON J"
"1855",2103,59526,1,"EJ","EMJ","EMBO J"
"1856",2084,59507,1,"EJ","ENJ-","ENG J-THAIL"
"1857",1182,58605,1,"EJ","EXJ","EXERC J"
"1858",4020,61443,1,"EJ","EXJ","EXCLI J"
"1859",4347,61770,1,"EJA","EUJAG","EUR J AGEING"
"1860",762,58185,3,"EJA","EUJAN","EUR J ANAT"
"1861",29,57452,867,"EJAP","EUJAPPH","EUR J APPL PHYSIOL"
"1862",746,58169,10,"EJAP","EUJAPPH","EUR J APPL PHYSL"
"1863",5372,62795,1,"EJAP","EUJAPPH","EUROPEAN J APPL PHYS"
"1864",126,57549,521,"EJAPO","EUJAPPHO","EUR J APPL PHYSIOL O"
"1865",5889,63312,1,"EJAPO","EUJAPPHOC","EUR J APPL PHYSL OCC"
"1866",4677,62100,1,"EJAPS","EUJAPPHS","EUR J APPL PHYSL S"
"1867",3711,61134,1,"EJAS","ELJAPST","ELECTRON J APPL STAT"
"1868",6051,63474,1,"EJASP","EUJADSIPR","EURASIP J ADV SIG PR"
"1869",1321,58744,3,"EJC","EUJCO","EUR J COMMUN"
"1870",2701,60124,11,"EJCI","EUJCLIN","EUR J CLIN INVEST"
"1871",794,58217,38,"EJCN","EUJCLNU","EUR J CLIN NUTR"
"1872",1098,58521,1,"EJCP","EUJCLPH","EUR J CLIN PHARMACOL"
"1873",629,58052,8,"EJCP","EUJCOPS","EUR J COGN PSYCHOL"
"1874",2054,59477,21,"EJCPR","EUJCAPRR","EUR J CARDIOV PREV R"
"1875",889,58312,4,"EJD","ENJODE","ENSINO JOGOS DESPORT"
"1876",2835,60258,1,"EJD","EUJDE","EUR J DERMATOL"
"1877",3252,60675,5,"EJDP","EUJDEPS","EUR J DEV PSYCHOL"
"1878",871,58294,19,"EJE","EUJEC","EUR J ECHOCARDIOGR"
"1879",4000,61423,6,"EJE","EUJEN","EUR J ENDOCRINOL"
"1880",3617,61040,9,"EJE","EUJEP","EUR J EPIDEMIOL"
"1881",3333,60756,4,"EJEB","EUJEXBI","EUR J EXP BIOL"
"1882",4003,61426,3,"EJEM","EUJEMME","EUR J EMERG MED"
